Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
Org_01,1,178,179,0.0004,0.0001,0.0004,1.1,0.0
Org_02,0,64,64,0.0001,0.0,0.0001,0.0,0.0
Org_03,0,359,359,0.0007,0.0,0.0007,0.0,0.0
Org_04,2,1015,1017,0.0021,0.0002,0.0021,2.15,0.0
Org_05,13,221,234,0.0005,0.0016,0.0005,-1.25,0.0
Org_06,0,25,25,0.0001,0.0,0.0001,0.0,0.0
Org_07,1,674,675,0.0014,0.0001,0.0014,2.43,0.0
Org_08,1,242,243,0.0005,0.0001,0.0005,1.41,0.0
Org_09,2,267,269,0.0005,0.0002,0.0006,0.81,0.0
Org_10,20,3555,3575,0.0072,0.0024,0.0073,1.1,0.01
Org_11,0,276,276,0.0006,0.0,0.0006,0.0,0.0
Org_12,9,1603,1612,0.0033,0.0011,0.0033,1.1,0.0
Org_13,0,3,3,0.0,0.0,0.0,0.0,0.0
Org_14,0,14,14,0.0,0.0,0.0,0.0,0.0
Org_15,5,571,576,0.0012,0.0006,0.0012,0.66,0.0
Org_16,2,99,101,0.0002,0.0002,0.0002,-0.18,0.0
Org_17,1,1695,1696,0.0034,0.0001,0.0035,3.35,0.01
Org_18,21,8829,8850,0.0179,0.0026,0.0182,1.96,0.03
Org_19,18,974,992,0.002,0.0022,0.002,-0.09,0.0
No Kiosk Interaction,6645,153370,160015,0.3244,0.812,0.3162,-0.94,0.47
Org_20,0,23,23,0.0,0.0,0.0,0.0,0.0
Org_21,0,7,7,0.0,0.0,0.0,0.0,0.0
Org_22,2,123,125,0.0003,0.0002,0.0003,0.04,0.0
Org_23,9,9203,9212,0.0187,0.0011,0.019,2.85,0.05
Org_24,26,10119,10145,0.0206,0.0032,0.0209,1.88,0.03
Org_25,29,5688,5717,0.0116,0.0035,0.0117,1.2,0.01
Org_26,0,24,24,0.0,0.0,0.0,0.0,0.0
Org_27,0,25,25,0.0001,0.0,0.0001,0.0,0.0
Org_28,0,25,25,0.0001,0.0,0.0001,0.0,0.0
Org_29,0,5,5,0.0,0.0,0.0,0.0,0.0
Org_30,1193,228366,229559,0.4655,0.1458,0.4709,1.17,0.38
Org_31,27,30103,30130,0.0611,0.0033,0.0621,2.93,0.17
Org_32,26,194,220,0.0004,0.0032,0.0004,-2.07,0.01
Org_33,24,4626,4650,0.0094,0.0029,0.0095,1.18,0.01
Org_34,4,3599,3603,0.0073,0.0005,0.0074,2.72,0.02
Org_35,13,56,69,0.0001,0.0016,0.0001,-2.62,0.0
Org_36,0,25,25,0.0001,0.0,0.0001,0.0,0.0
Org_37,0,493,493,0.001,0.0,0.001,0.0,0.0
Org_38,0,50,50,0.0001,0.0,0.0001,0.0,0.0
Org_39,5,2283,2288,0.0046,0.0006,0.0047,2.04,0.01
Org_40,0,152,152,0.0003,0.0,0.0003,0.0,0.0
Org_41,3,2548,2551,0.0052,0.0004,0.0053,2.66,0.01
Org_42,0,1064,1064,0.0022,0.0,0.0022,0.0,0.0
Org_43,1,77,78,0.0002,0.0001,0.0002,0.26,0.0
Org_44,15,4123,4138,0.0084,0.0018,0.0085,1.53,0.01
Org_45,0,42,42,0.0001,0.0,0.0001,0.0,0.0
Org_46,27,204,231,0.0005,0.0033,0.0004,-2.06,0.01
Org_47,38,7718,7756,0.0157,0.0046,0.0159,1.23,0.01
Org_48,1,6,7,0.0,0.0001,0.0,-2.29,0.0
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,1.26
